PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\30-001-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 30-001-2026 12'09'37.isi
30/01/2026 12:09:37
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
209 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
8,498	1769771385,550	30/01/2026_12:09:45,550	1	2	2,824074727e-06	2,208592377e-06	3,145544589e-12	6,919598575e-12	5,911058535e-12	1,197658552e-11	6,981815126e-11	9,304784027e-11	9,820049504e-13	1,051144238e-13	1,142527045e-11	6,446541976e-13	4,999999912e-15	1,823350736e-14	4,999999912e-15	1,943649065e-14	7,381127827e-12	8,670677159e-14	2,048814304e-14	4,999999912e-15	4,171892053e-14	1,103317021e-10	6,818261233e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,651952785e-09	39,7034441	0	0,237441504	30,07136493	0	30,58844929	0,2840868154	0,03712167173	0,002800085971
14,234	1769771391,286	30/01/2026_12:09:51,286	1	2	2,8280067e-06	2,22473318e-06	3,135925547e-12	6,933761291e-12	5,905153536e-12	1,199593896e-11	6,988995493e-11	9,316203364e-11	9,845584634e-13	1,013638026e-13	1,142518979e-11	6,404147503e-13	4,999999912e-15	1,237767213e-14	4,999999912e-15	2,149321709e-14	7,371180055e-12	9,61948552e-14	1,556365104e-14	4,999999912e-15	3,48269658e-14	1,108033873e-10	6,811389647e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,614133908e-09	39,80247733	0	0,2339359871	30,05823897	0	30,50612877	0,2827124833	0,03582039817	8,226261702e-05
19,97	1769771397,022	30/01/2026_12:09:57,022	1	2	2,828058314e-06	2,218773716e-06	3,119858538e-12	6,942267507e-12	5,904746744e-12	1,197441538e-11	6,991081325e-11	9,305960863e-11	9,837138699e-13	9,779900685e-14	1,142735993e-11	6,314228112e-13	6,007174603e-15	8,634347238e-15	4,999999912e-15	2,384631189e-14	7,359524448e-12	9,939392245e-14	1,033792701e-14	4,999999912e-15	3,392036611e-14	1,102136299e-10	6,803695107e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,372305391e-09	39,70079876	0	0,2440026509	30,12429761	0	30,55265705	0,2821148766	0,03460095221	0
25,706	1769771402,758	30/01/2026_12:10:02,758	1	2	2,834479801e-06	2,209436389e-06	3,112878661e-12	6,941202387e-12	5,896467342e-12	1,200257775e-11	6,984629541e-11	9,308388088e-11	9,822653758e-13	1,048548997e-13	1,142261286e-11	6,318467884e-13	1,221129368e-14	8,881732528e-15	4,999999912e-15	2,48931057e-14	7,361695455e-12	1,079535766e-13	1,315427852e-14	1,566502733e-14	3,036086939e-14	1,103809266e-10	6,820367188e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,00957289e-08	39,71285402	0	0,2451351679	30,07801234	0	30,59239169	0,2811417949	0,03700601496	0
31,442	1769771408,494	30/01/2026_12:10:08,494	1	2	2,845728659e-06	2,198455149e-06	3,097951149e-12	6,967204157e-12	5,893438949e-12	1,201062947e-11	6,984368639e-11	9,293011499e-11	9,752313974e-13	1,08746657e-13	1,143004788e-11	6,260428374e-13	2,075784003e-14	4,999999912e-15	5,798106542e-15	1,653961934e-14	7,359428171e-12	1,075630741e-13	9,527368992e-15	2,048619656e-14	2,284948286e-14	1,10360561e-10	6,809283692e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,542376656e-08	39,74302638	0	0,2516098291	30,07751474	0	30,5691549	0,2801505988	0,03789381645	0
37,178	1769771414,230	30/01/2026_12:10:14,230	1	2	2,829237701e-06	2,213675998e-06	3,101947301e-12	6,947460836e-12	5,902752245e-12	1,201730642e-11	6,996370844e-11	9,30591923e-11	9,80154651e-13	1,145122679e-13	1,14317323e-11	6,272312856e-13	2,810478867e-14	4,999999912e-15	1,669969671e-14	1,703342599e-14	7,390640183e-12	1,051735874e-13	1,137162569e-14	2,581523489e-14	2,028537013e-14	1,103275873e-10	6,823748511e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,9807307e-08	39,69189005	0	0,2574101917	30,0916145	0	30,60184652	0,2802079419	0,04025235696	0
42,914	1769771419,966	30/01/2026_12:10:19,966	1	2	2,830321819e-06	2,174988595e-06	3,09921663e-12	6,930164342e-12	5,90321932e-12	1,202188002e-11	6,97323449e-11	9,293452119e-11	9,668103991e-13	1,27035955e-13	1,141770966e-11	6,336605502e-13	2,492949254e-14	4,999999912e-15	2,20578374e-14	8,949157198e-15	7,394707242e-12	1,019129307e-13	1,508051361e-14	2,601217683e-14	1,628350199e-14	1,105543782e-10	6,825284088e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,760515898e-08	39,75872275	0	0,2405842138	30,01477427	0	30,60123607	0,2797220276	0,04374673044	0
48,65	1769771425,702	30/01/2026_12:10:25,702	1	2	2,832003929e-06	2,196773494e-06	3,097492098e-12	6,920624664e-12	5,915595704e-12	1,201608864e-11	6,980881151e-11	9,310455878e-11	9,63715544e-13	1,341995498e-13	1,140394897e-11	6,409250301e-13	2,262053155e-14	4,999999912e-15	3,31059236e-14	4,999999912e-15	7,415908165e-12	9,451260033e-14	2,363336272e-14	2,192978295e-14	1,824321096e-14	1,099071598e-10	6,824078802e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,603575127e-08	39,59449839	0	0,2331160639	30,11438569	0	30,64902985	0,2799494055	0,04598231745	0
54,386	1769771431,438	30/01/2026_12:10:31,438	1	2	2,830512585e-06	2,218773716e-06	3,090718436e-12	6,908249146e-12	5,923094914e-12	1,199878738e-11	6,978561479e-11	9,292021319e-11	9,55614819e-13	1,391570236e-13	1,140287084e-11	6,472600776e-13	1,467693459e-14	4,999999912e-15	2,537576371e-14	4,999999912e-15	7,404836293e-12	8,062392984e-14	3,174382686e-14	1,747485044e-14	2,399814593e-14	1,101374547e-10	6,823619447e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,159836061e-08	39,66762849	0	0,2509166426	30,06464985	0	30,63610861	0,279455439	0,0471559747	0
60,122	1769771437,174	30/01/2026_12:10:37,174	1	2	2,832867494e-06	2,221323484e-06	3,068118025e-12	6,913513165e-12	5,912402078e-12	1,198625227e-11	6,998265856e-11	9,286457714e-11	9,585757752e-13	1,340676159e-13	1,140697432e-11	6,54708926e-13	4,999999912e-15	4,999999912e-15	2,164067536e-14	4,999999912e-15	7,400517699e-12	7,830914465e-14	3,324756445e-14	5,881540982e-15	2,438426251e-14	1,101578481e-10	6,834418448e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,428354382e-09	39,66011796	0	0,2878510773	30,07266141	0	30,66604581	0,2776551106	0,04551090464	0
