PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\30-001-2026\MCD 256_kwinda_New_1%MeOH - Oxidative coupling_removed, Position 1, RGA PrismaPro A 100 47507368, 30-001-2026 12'30'20.isi
30/01/2026 12:30:20
SensorID:  RGA PrismaPro A 100 47507368
52 Bins
2582 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH2CH2	Sig:_MCD_CH3CH3	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
8,516	1769772628,987	30/01/2026_12:30:28,987	1	2	2,816792176e-06	2,217923793e-06	2,21007739e-12	6,826721913e-12	5,822581133e-12	1,185079292e-11	6,874570357e-11	9,125439293e-11	9,398800098e-13	1,169240757e-13	1,11430613e-11	6,117108773e-13	1,326147986e-14	4,999999912e-15	1,680059019e-14	4,999999912e-15	7,314107653e-12	7,953056616e-14	1,099132653e-14	1,404536481e-14	4,999999912e-15	1,076201975e-10	6,683634896e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,07778343e-08	39,59280521	0	0,255767348	30,20524591	0	30,64730896	0,2045407924	0,0400111211	0
14,252	1769772634,723	30/01/2026_12:30:34,723	1	2	2,811583272e-06	2,217071597e-06	2,216583471e-12	6,827158196e-12	5,839867652e-12	1,184910503e-11	6,868037389e-11	9,138218654e-11	9,275706288e-13	1,20069292e-13	1,113368599e-11	6,229142636e-13	5,760274663e-15	4,999999912e-15	1,886118757e-14	4,999999912e-15	7,313928109e-12	7,474189589e-14	1,997492747e-14	4,999999912e-15	6,35012469e-15	1,077476372e-10	6,683686937e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,936051345e-09	39,60717748	0	0,2356170108	30,19657563	0	30,62792165	0,2048096581	0,03995184747	0
19,988	1769772640,459	30/01/2026_12:30:40,459	1	2	2,824939202e-06	2,216222128e-06	2,219321081e-12	6,815747619e-12	5,849325798e-12	1,18339661e-11	6,878952963e-11	9,128542366e-11	9,293772349e-13	1,257252765e-13	1,113094859e-11	6,301728345e-13	4,999999912e-15	4,999999912e-15	1,99807449e-14	4,999999912e-15	7,327010526e-12	7,363009399e-14	2,806017205e-14	4,999999912e-15	1,381059099e-14	1,075381173e-10	6,68146094e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	6,004679672e-09	39,56850478	0	0,2696551485	30,22413714	0	30,64135089	0,2055296425	0,04224914797	0
25,724	1769772646,195	30/01/2026_12:30:46,195	1	2	2,817751465e-06	2,215370614e-06	2,208031934e-12	6,81731711e-12	5,853876411e-12	1,181152225e-11	6,873233233e-11	9,124524747e-11	9,272714974e-13	1,238349565e-13	1,113452733e-11	6,293108396e-13	4,999999912e-15	4,999999912e-15	6,825012018e-15	4,999999912e-15	7,318443594e-12	6,270572711e-14	2,893670207e-14	4,999999912e-15	2,262294898e-14	1,079725892e-10	6,670837494e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,984898913e-09	39,68579318	0	0,2579149331	30,17640054	0	30,56222661	0,2042699805	0,04136227581	0
31,46	1769772651,931	30/01/2026_12:30:51,931	1	2	2,807947112e-06	2,230711061e-06	2,207946716e-12	6,820991254e-12	5,843837567e-12	1,181049789e-11	6,878236175e-11	9,137744034e-11	9,369399787e-13	1,217180653e-13	1,112790762e-11	6,342082892e-13	4,999999912e-15	7,744717004e-15	4,999999912e-15	4,999999912e-15	7,319897292e-12	6,310153544e-14	3,028326762e-14	4,999999912e-15	2,842833662e-14	1,07906177e-10	6,685658277e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,985734295e-09	39,63162406	0	0,2550342504	30,18608321	0	30,60821688	0,204109284	0,04134980483	0
37,196	1769772657,667	30/01/2026_12:30:57,667	1	2	2,808796125e-06	2,186692882e-06	2,198057491e-12	6,803914637e-12	5,838383596e-12	1,179297805e-11	6,863479229e-11	9,125482314e-11	9,393987324e-13	1,098516623e-13	1,111488332e-11	6,289212857e-13	4,999999912e-15	8,957891801e-15	4,999999912e-15	4,999999912e-15	7,305858175e-12	6,611920213e-14	2,838031662e-14	4,999999912e-15	2,942419664e-14	1,076954428e-10	6,677048497e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,868634428e-09	39,62084008	0	0,2486083359	30,18607329	0	30,62132589	0,2034819949	0,03741852904	0
42,932	1769772663,403	30/01/2026_12:31:03,403	1	2	2,820395139e-06	2,228999847e-06	2,193066258e-12	6,821202891e-12	5,83095074e-12	1,17996871e-11	6,866093111e-11	9,120051936e-11	9,482829019e-13	1,02916536e-13	1,11098266e-11	6,290818018e-13	4,999999912e-15	1,412442517e-14	4,999999912e-15	6,491279343e-15	7,278645568e-12	6,953169458e-14	2,533161296e-14	4,999999912e-15	3,436953413e-14	1,07275501e-10	6,676776493e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,959394414e-09	39,53783544	0	0,2566167631	30,23310246	0	30,67312471	0,2034313719	0,03576606194	0
48,668	1769772669,139	30/01/2026_12:31:09,139	1	2	2,812915227e-06	2,217071597e-06	2,183782885e-12	6,797687413e-12	5,82539789e-12	1,181806215e-11	6,86864246e-11	9,13366327e-11	9,620736282e-13	9,174331759e-14	1,112948449e-11	6,238944365e-13	4,999999912e-15	1,368883e-14	4,999999912e-15	1,425540357e-14	7,29455385e-12	7,857447603e-14	1,868705284e-14	4,999999912e-15	3,66814123e-14	1,077000364e-10	6,675340836e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,744589615e-09	39,6158866	0	0,2485306803	30,20813974	0	30,60824668	0,202069523	0,03274963304	0
54,404	1769772674,875	30/01/2026_12:31:14,875	1	2	2,811406148e-06	2,221323484e-06	2,175528854e-12	6,838009759e-12	5,827040239e-12	1,179685776e-11	6,87001081e-11	9,121355754e-11	9,561674369e-13	9,095554984e-14	1,110596511e-11	6,105258443e-13	4,999999912e-15	1,370241302e-14	4,999999912e-15	1,350450547e-14	7,275160942e-12	8,68382311e-14	1,322509979e-14	4,999999912e-15	2,880184426e-14	1,075189868e-10	6,665358543e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,932357859e-09	39,6083808	0	0,2578544323	30,23244162	0	30,6069757	0,2017101207	0,03202165722	0
60,14	1769772680,611	30/01/2026_12:31:20,611	1	2	2,811252216e-06	2,220472425e-06	2,179484457e-12	6,878543308e-12	5,811653676e-12	1,181698749e-11	6,86864246e-11	9,129073192e-11	9,559898446e-13	8,655591164e-14	1,115330051e-11	6,06749026e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,66312988e-14	7,260097037e-12	9,904758762e-14	4,999999912e-15	4,999999912e-15	2,402772602e-14	1,077997483e-10	6,673192554e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5,76673395e-09	39,65425314	0	0,24654312	30,20059226	0	30,60120459	0,2016922603	0,03029733047	0
