Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
5;0,00;0,00;0,00;0,00;49,00;0,00;70,99;79,98;31,56;180,10;461,59;179,95;446,92;454,72;77,87;-0,01
10;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,00;31,55;180,14;460,74;179,98;446,98;454,41;77,87;-0,01
15;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;31,55;180,13;460,19;180,01;446,99;453,55;77,87;-0,01
20;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,56;180,12;458,96;180,07;446,98;453,03;77,87;-0,01
25;0,00;0,00;0,00;0,00;48,99;0,00;71,02;80,00;31,55;180,12;458,30;180,10;446,95;451,88;77,87;-0,01
30;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,56;180,11;456,92;180,16;446,82;451,26;77,87;-0,01
35;0,00;0,00;0,00;0,00;49,00;0,00;71,02;79,98;31,56;180,11;456,23;180,19;446,75;450,07;77,87;-0,01
40;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;31,56;180,10;455,53;180,20;446,63;449,60;77,87;-0,01
45;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,55;180,11;455,70;180,21;446,58;449,50;77,87;-0,01
50;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;31,55;180,13;457,29;180,18;446,54;449,95;77,87;-0,01
55;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;31,56;180,14;458,46;180,16;446,53;451,68;77,87;-0,01
60;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;31,55;180,14;460,63;180,10;446,53;453,59;77,87;-0,01
65;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,00;31,55;180,11;461,38;180,07;446,56;454,29;77,87;-0,01
70;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,02;31,55;180,09;462,15;180,00;446,67;455,06;77,87;-0,01
75;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;31,55;180,08;462,20;179,97;446,73;455,15;77,87;-0,01
80;0,00;0,00;0,00;0,00;49,00;0,00;71,01;79,98;31,56;180,08;461,84;179,93;446,85;454,90;77,87;-0,01
85;0,00;0,00;0,00;0,00;49,00;0,00;71,03;79,98;31,55;180,10;461,45;179,92;446,90;454,61;77,87;-0,01
90;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,00;31,56;180,12;460,49;179,93;446,97;453,80;77,87;-0,01
95;0,00;0,00;0,00;0,00;49,01;0,00;71,03;80,00;31,55;180,13;459,92;179,95;446,97;453,28;77,87;-0,01
100;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;31,55;180,13;458,62;179,99;446,94;452,18;77,87;-0,01
105;0,00;0,00;0,00;0,00;49,02;0,00;71,00;80,02;31,57;180,12;457,95;180,03;446,89;451,57;77,87;-0,01
110;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,57;180,11;456,53;180,11;446,76;450,33;77,87;-0,01
115;0,00;0,00;0,00;0,00;48,99;0,00;71,02;80,02;31,56;180,10;455,95;180,14;446,69;449,82;77,87;-0,01
120;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;31,56;180,10;455,57;180,20;446,59;449,41;77,87;-0,01
125;0,00;0,00;0,00;0,00;49,01;0,00;71,01;79,98;31,56;180,12;455,98;180,23;446,55;449,70;77,87;-0,01
130;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;31,57;180,13;457,83;180,25;446,51;451,21;77,86;-0,01
135;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;31,57;180,14;459,01;180,25;446,50;452,22;77,86;-0,01
140;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,00;31,58;180,14;461,05;180,22;446,52;454,00;77,87;-0,01
145;0,00;0,00;0,00;0,00;48,99;0,00;71,00;80,02;31,58;180,12;461,66;180,20;446,56;454,57;77,87;-0,01
150;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,57;180,11;462,17;180,12;446,67;455,12;77,87;-0,01
155;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,58;180,11;462,12;180,08;446,72;455,12;77,87;-0,01
160;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,59;180,10;461,60;180,01;446,84;454,73;77,87;-0,01
165;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,00;31,59;180,11;461,18;179,97;446,89;454,40;77,87;-0,01
170;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,00;31,59;180,11;460,16;179,92;446,94;453,52;77,87;-0,01
175;0,00;0,00;0,00;0,00;49,01;0,00;70,99;79,98;31,59;180,12;459,52;179,92;446,95;452,99;77,87;-0,01
180;0,00;0,00;0,00;0,00;49,03;0,00;71,06;80,11;31,60;180,12;458,23;179,95;446,89;451,83;77,87;-0,01
185;0,00;0,00;0,00;0,00;49,10;0,00;71,26;80,25;31,61;180,11;456,85;179,99;446,84;451,21;77,87;0,33
190;0,00;0,00;0,00;0,00;49,10;0,00;71,28;80,27;31,61;180,11;456,16;180,14;446,70;450,01;77,87;0,49
195;0,00;0,00;0,00;0,00;48,86;0,00;70,65;79,64;31,62;180,12;455,48;180,23;446,57;449,56;77,87;0,54
200;0,00;0,00;0,00;0,00;48,97;0,00;70,92;79,92;31,62;180,13;455,65;180,41;444,80;449,46;77,87;0,36
205;0,00;0,00;0,00;0,00;48,99;0,00;70,94;79,92;31,62;180,12;457,26;180,50;444,16;449,91;77,87;0,24
210;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;31,63;180,11;458,44;180,61;443,42;451,67;77,87;0,22
215;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,02;31,62;180,11;460,65;180,63;443,15;452,69;77,87;0,21
220;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,03;31,64;180,12;461,43;180,62;442,70;454,35;77,86;0,21
225;0,00;0,00;0,00;0,00;48,99;0,00;71,02;79,98;31,65;180,13;462,23;180,58;442,52;454,84;77,87;0,21
230;0,00;0,00;0,00;0,00;49,00;0,00;70,98;79,98;31,66;180,13;462,30;180,45;442,16;455,24;77,87;0,21
235;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;31,66;180,12;461,95;180,36;441,99;455,20;77,87;0,21
240;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,02;31,66;180,10;461,60;180,20;441,63;454,72;77,87;0,21
245;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,97;31,68;180,09;460,61;180,07;441,44;454,36;77,87;0,21
250;0,00;0,00;0,00;0,00;48,99;0,00;71,01;80,00;31,67;180,10;460,05;180,03;441,05;453,42;77,87;0,21
255;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,97;31,68;180,11;458,79;180,01;440,82;452,88;77,87;0,21
260;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;31,68;180,11;458,06;180,03;440,36;451,70;77,87;0,21
265;0,00;0,00;0,00;0,00;49,01;0,00;71,03;80,00;31,69;180,11;456,67;180,13;440,11;451,08;77,87;0,21
270;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,02;31,69;180,11;456,00;180,20;439,60;449,87;77,87;0,21
275;0,00;0,00;0,00;0,00;49,01;0,00;71,01;79,97;31,69;180,10;455,46;180,36;439,36;449,47;77,87;0,21
280;0,00;0,00;0,00;0,00;49,00;0,00;70,99;80,03;31,70;180,09;455,75;180,45;438,94;449,52;77,87;0,21
285;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,97;31,69;180,08;457,56;180,60;438,76;450,07;77,87;0,21
290;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,69;180,08;458,79;180,62;438,47;451,98;77,87;0,21
295;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,00;31,69;180,10;460,93;180,63;438,36;453,00;77,87;0,21
300;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;31,69;180,12;461,64;180,61;438,21;454,54;77,87;0,21
305;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,03;31,68;180,14;462,32;180,48;438,16;454,98;77,87;0,21
310;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;31,68;180,12;462,32;180,40;438,11;455,27;77,86;0,21
315;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,02;31,66;180,09;461,88;180,21;438,08;455,17;77,87;0,21
320;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,66;180,08;461,49;180,10;438,00;454,64;77,87;0,21
325;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;31,64;180,06;460,49;179,92;437,88;454,24;77,87;0,21
330;0,00;0,00;0,00;0,00;49,00;0,00;70,99;79,98;31,64;180,07;459,91;179,85;437,80;453,27;77,87;0,21
